timestamp,open,high,low,close,volume
2026-03-09 14:05:00,69102.19,69102.19,68753.87,68776.96,0.08704
2026-03-09 14:10:00,68737.84,68856.2,68724.94,68856.2,0.08723
2026-03-09 14:15:00,69085.08,69218.36,69051.36,69072.91,0.15584
2026-03-09 14:20:00,69066.95,69201.67,69010.93,69107.34,0.03222
2026-03-09 14:25:00,69248.73,69248.73,69049.75,69136.91,0.08828
2026-03-09 14:30:00,69283.94,69320.7,69126.12,69128.36,0.06052
2026-03-09 14:35:00,69216.95,69420.0,69216.95,69348.62,0.04929
2026-03-09 14:40:00,69392.18,69471.92,69331.33,69341.76,0.27319
2026-03-09 14:45:00,69399.54,69399.54,69207.86,69207.86,0.24213
2026-03-09 14:50:00,69235.3,69235.3,69235.3,69235.3,0.00105
2026-03-09 14:55:00,69211.61,69211.61,69131.78,69147.49,0.06778
2026-03-09 15:00:00,69218.44,69230.59,69153.31,69153.31,0.00428
2026-03-09 15:05:00,69235.39,69274.33,69027.29,69027.29,0.31706
2026-03-09 15:10:00,69051.71,69158.26,69017.64,69135.44,0.06191
2026-03-09 15:15:00,69223.07,69223.07,69000.0,69000.0,0.05207
2026-03-09 15:20:00,69065.28,69138.11,69049.44,69108.27,0.04166
2026-03-09 15:25:00,69117.95,69155.79,69050.96,69050.96,0.03218
2026-03-09 15:30:00,69055.84,69055.84,68900.0,68993.9,0.09166
2026-03-09 15:35:00,68810.0,68883.99,68750.0,68784.16,0.26077
2026-03-09 15:40:00,68807.91,68814.06,68747.97,68753.61,0.05977
2026-03-09 15:45:00,68882.72,68882.72,68855.82,68873.89,0.01788
2026-03-09 15:50:00,68850.47,68893.73,68794.64,68893.73,0.48507
2026-03-09 15:55:00,68913.53,69055.35,68913.53,69024.16,0.03198
2026-03-09 16:00:00,68851.03,68998.39,68817.54,68941.41,0.06734
2026-03-09 16:05:00,68978.08,69025.38,68869.84,68869.84,0.06195
2026-03-09 16:10:00,68843.13,68843.13,68750.29,68820.64,0.01666
2026-03-09 16:15:00,68804.18,68812.14,68800.0,68812.14,0.86198
2026-03-09 16:20:00,68850.8,68915.49,68850.8,68915.49,0.01918
2026-03-09 16:25:00,68867.35,69005.78,68867.35,69005.78,0.05089
2026-03-09 16:30:00,68993.57,68993.57,68680.34,68738.1,0.02624
2026-03-09 16:35:00,68807.99,68807.99,68807.99,68807.99,0.00768
2026-03-09 16:40:00,69024.91,69125.0,69024.91,69113.29,0.1007
2026-03-09 16:45:00,69014.46,69042.33,68982.4,68989.8,0.00477
2026-03-09 16:50:00,69141.46,69189.68,69141.46,69189.68,0.18399
2026-03-09 16:55:00,68967.11,68967.11,68964.9,68964.9,0.04216
2026-03-09 17:00:00,68993.9,68993.9,68913.01,68949.14,0.00896
2026-03-09 17:05:00,68979.1,69049.09,68979.1,69023.83,0.00291
2026-03-09 17:10:00,69061.83,69073.55,68982.55,68982.55,0.01337
2026-03-09 17:15:00,68982.55,68982.55,68982.55,68982.55,0.0
2026-03-09 17:20:00,68890.2,68890.2,68737.84,68737.84,0.0488
2026-03-09 17:25:00,68744.67,68744.68,68616.99,68616.99,0.0632
2026-03-09 17:30:00,68615.6,68738.31,68589.74,68673.05,0.09888
2026-03-09 17:35:00,68720.04,68720.04,68431.0,68431.0,0.13199
2026-03-09 17:40:00,68375.07,68424.72,68258.5,68414.71,0.04523
2026-03-09 17:45:00,68446.45,68506.27,68421.54,68467.96,0.06537
2026-03-09 17:50:00,68521.01,68627.14,68521.01,68627.14,0.0094
2026-03-09 17:55:00,68624.92,68655.14,68592.01,68653.67,0.05133
2026-03-09 18:00:00,68579.8,68598.91,68487.79,68491.64,0.01733
