timestamp,open,high,low,close,volume
2026-03-08 02:45:00,67331.21,67331.21,67095.2,67095.2,0.06737
2026-03-08 02:50:00,66939.9,67040.0,66863.64,67040.0,0.18955
2026-03-08 02:55:00,67035.31,67035.31,66943.17,66943.17,0.11577
2026-03-08 03:00:00,66918.59,66995.24,66918.59,66995.24,0.00085
2026-03-08 03:05:00,66973.23,67021.77,66926.19,66926.19,0.08885
2026-03-08 03:10:00,66978.72,66994.48,66978.72,66985.33,0.05545
2026-03-08 03:15:00,66985.33,66985.33,66985.33,66985.33,0.0
2026-03-08 03:20:00,67033.64,67033.64,67033.64,67033.64,0.00029
2026-03-08 03:25:00,66998.89,66998.89,66998.89,66998.89,0.04297
2026-03-08 03:30:00,67025.28,67025.28,66998.35,66998.35,0.05915
2026-03-08 03:35:00,66998.35,66998.35,66998.35,66998.35,0.0
2026-03-08 03:40:00,67016.52,67016.52,67016.52,67016.52,0.00786
2026-03-08 03:45:00,67029.86,67058.53,67013.43,67013.43,0.0341
2026-03-08 03:50:00,67048.38,67051.92,67047.59,67047.59,0.03421
2026-03-08 03:55:00,67024.78,67073.69,67005.8,67005.8,0.22196
2026-03-08 04:00:00,67017.59,67017.59,66947.0,67003.8,0.01139
2026-03-08 04:05:00,67020.92,67080.0,67020.92,67032.7,0.44412
2026-03-08 04:10:00,67038.47,67038.47,66934.98,66961.0,0.11205
2026-03-08 04:15:00,67019.16,67054.18,66988.52,67054.18,0.05681
2026-03-08 04:20:00,67069.15,67069.15,67054.18,67054.18,0.00118
2026-03-08 04:25:00,67040.51,67040.51,67012.15,67029.89,0.05836
2026-03-08 04:30:00,66997.86,67029.48,66996.99,67029.47,0.00559
2026-03-08 04:35:00,66990.14,66990.14,66943.91,66986.8,0.01808
2026-03-08 04:40:00,66930.02,66966.13,66930.02,66966.13,0.0037
2026-03-08 04:45:00,66950.31,66950.31,66817.86,66879.58,0.16912
2026-03-08 04:50:00,66806.98,66871.98,66632.36,66632.36,0.26713
2026-03-08 04:55:00,66600.0,66653.21,66581.67,66623.96,0.06853
2026-03-08 05:00:00,66653.21,66759.31,66653.21,66759.31,0.11856
2026-03-08 05:05:00,66822.88,66944.42,66822.88,66932.09,0.08817
2026-03-08 05:10:00,66933.51,66966.99,66921.5,66966.99,0.1482
2026-03-08 05:15:00,66967.18,67044.15,66964.24,67005.58,0.11781
2026-03-08 05:20:00,67084.03,67164.68,67084.03,67101.55,0.04276
2026-03-08 05:25:00,67167.46,67167.46,67167.46,67167.46,0.00206
2026-03-08 05:30:00,67167.46,67167.46,67167.46,67167.46,0.0
2026-03-08 05:35:00,67162.46,67181.79,67162.46,67181.79,0.00223
2026-03-08 05:40:00,67189.73,67189.73,67184.3,67184.3,0.0046
2026-03-08 05:45:00,67184.3,67184.3,67184.3,67184.3,0.0
2026-03-08 05:50:00,67179.49,67189.2,67179.49,67189.2,0.00452
2026-03-08 05:55:00,67233.38,67233.38,67160.46,67160.46,0.00259
2026-03-08 06:00:00,67160.46,67160.46,67160.46,67160.46,0.0
2026-03-08 06:05:00,67191.88,67191.89,67191.88,67191.89,0.00102
2026-03-08 06:10:00,67173.98,67173.98,67109.13,67126.07,0.00037
2026-03-08 06:15:00,67144.59,67144.59,67144.59,67144.59,0.00034
2026-03-08 06:20:00,67110.29,67158.36,67110.29,67144.48,0.00382
2026-03-08 06:25:00,67122.51,67122.51,67122.51,67122.51,6e-05
2026-03-08 06:30:00,67085.77,67085.77,67055.53,67055.53,0.04531
2026-03-08 06:35:00,67054.57,67096.68,67054.57,67096.68,0.00772
2026-03-08 06:40:00,67158.35,67158.35,67158.35,67158.35,6e-05
2026-03-08 06:45:00,67150.79,67158.36,67150.79,67158.36,0.00237
2026-03-08 06:50:00,67158.36,67158.36,67158.36,67158.36,0.0
2026-03-08 06:55:00,67153.1,67200.0,67153.1,67182.96,0.05257
2026-03-08 07:00:00,67175.37,67234.56,67165.65,67234.56,0.05025
2026-03-08 07:05:00,67345.67,67416.19,67341.61,67384.13,0.01771
2026-03-08 07:10:00,67383.97,67421.03,67372.45,67421.03,0.00345
2026-03-08 07:15:00,67421.03,67421.03,67421.03,67421.03,0.0
2026-03-08 07:20:00,67407.17,67407.17,67320.24,67320.24,0.00192
